buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum
high,high,5more,2,med,med,unacc,625
vhigh,low,5more,2,big,low,unacc,411
med,vhigh,2,2,med,low,unacc,867
med,med,3,4,med,low,unacc,1119
high,low,3,more,small,low,unacc,801
vhigh,med,3,more,big,low,unacc,267
low,vhigh,4,2,med,med,unacc,1354
vhigh,med,2,more,big,low,unacc,240
vhigh,high,5more,4,big,low,unacc,204
low,low,5more,2,med,high,unacc,1706
vhigh,vhigh,2,4,med,high,unacc,14
high,vhigh,2,2,big,med,unacc,439
low,low,2,more,small,high,unacc,1640
med,low,3,2,small,med,unacc,1216
med,high,4,2,small,high,unacc,1028
low,vhigh,3,2,small,med,unacc,1324
high,med,4,more,small,low,unacc,720
vhigh,high,5more,4,big,med,unacc,205
low,vhigh,5more,2,med,high,unacc,1382
vhigh,high,2,2,med,low,unacc,111
med,med,3,2,med,low,unacc,1110
high,med,5more,2,small,high,unacc,731
high,vhigh,4,more,big,med,unacc,511
low,med,5more,4,med,low,unacc,1605
high,med,5more,2,big,high,unacc,737
med,high,2,more,small,high,unacc,992
high,low,5more,more,big,low,unacc,861
high,low,4,2,big,low,unacc,816
vhigh,high,2,2,small,low,unacc,108
med,high,3,more,small,med,unacc,1018
high,low,2,2,big,med,unacc,763
vhigh,vhigh,2,2,big,low,unacc,6
high,vhigh,3,2,big,high,unacc,467
vhigh,high,2,2,big,med,unacc,115
low,high,3,4,small,low,unacc,1440
high,low,2,4,med,low,unacc,768
low,vhigh,3,4,big,low,unacc,1338
high,med,4,2,big,low,unacc,708
high,vhigh,2,2,small,med,unacc,433
med,low,4,more,big,low,unacc,1266
vhigh,low,2,more,small,low,unacc,342
med,vhigh,4,4,big,low,unacc,933
vhigh,low,4,more,small,low,unacc,396
high,vhigh,5more,2,med,high,unacc,518
low,med,3,4,med,low,unacc,1551
high,vhigh,4,more,med,low,unacc,507
low,low,5more,4,small,low,unacc,1710
med,high,2,more,med,med,unacc,994
med,low,2,2,med,high,unacc,1193
vhigh,vhigh,3,more,small,high,unacc,47
med,vhigh,2,4,med,med,unacc,877
vhigh,vhigh,2,4,med,low,unacc,12
low,med,2,more,small,med,unacc,1531
high,low,5more,2,med,high,unacc,842
high,high,3,more,med,low,unacc,588
vhigh,vhigh,2,more,small,med,unacc,19
high,low,5more,4,med,low,unacc,849
high,vhigh,2,more,med,med,unacc,454
high,med,2,2,big,high,unacc,656
vhigh,high,4,more,big,high,unacc,188
vhigh,low,3,4,big,low,unacc,366
low,high,2,4,big,low,unacc,1419
low,vhigh,2,2,med,med,unacc,1300
vhigh,med,3,4,med,low,unacc,255
low,vhigh,5more,2,big,high,unacc,1385
low,high,4,more,small,low,unacc,1476
low,low,4,4,big,low,unacc,1689
high,high,4,2,small,high,unacc,596
vhigh,med,3,2,small,med,unacc,244
low,high,3,2,small,med,unacc,1432
low,low,4,more,med,low,unacc,1695
med,med,4,more,big,low,unacc,1158
med,vhigh,5more,2,big,high,unacc,953
high,med,5more,2,big,med,unacc,736
low,med,5more,2,big,high,unacc,1601
low,med,3,more,small,low,unacc,1557
vhigh,low,4,more,med,low,unacc,399
low,high,3,2,med,low,unacc,1434
high,vhigh,5more,4,big,med,unacc,529
high,high,2,more,small,high,unacc,560
vhigh,vhigh,3,2,med,med,unacc,31
high,low,5more,4,big,low,unacc,852
high,vhigh,3,2,med,low,unacc,462
vhigh,high,3,more,med,high,unacc,158
high,high,4,more,med,low,unacc,615
med,high,2,more,med,low,unacc,993
high,vhigh,3,more,small,high,unacc,479
low,vhigh,2,2,big,low,unacc,1302
high,high,2,2,med,med,unacc,544
med,med,4,4,big,low,unacc,1149
high,vhigh,5more,4,med,low,unacc,525
high,vhigh,2,more,small,low,unacc,450
low,vhigh,3,2,med,low,unacc,1326
low,low,3,4,med,low,unacc,1659
high,med,5more,2,med,low,unacc,732
low,high,5more,more,small,low,unacc,1503
vhigh,vhigh,4,4,big,low,unacc,69
vhigh,vhigh,2,more,med,low,unacc,21
med,high,4,more,med,low,unacc,1047
vhigh,vhigh,4,2,med,low,unacc,57
med,vhigh,5more,2,big,low,unacc,951
vhigh,vhigh,3,4,med,low,unacc,39
high,med,2,more,big,low,unacc,672
med,vhigh,2,4,big,low,unacc,879
med,med,5more,4,small,low,unacc,1170
high,med,4,2,small,high,unacc,704
med,vhigh,4,more,big,low,unacc,942
med,high,4,2,med,med,unacc,1030
low,low,3,2,med,high,unacc,1652
vhigh,low,3,2,big,low,unacc,357
high,low,3,more,big,low,unacc,807
low,high,4,2,small,low,unacc,1458
high,vhigh,5more,more,small,high,unacc,533
med,low,4,2,big,high,unacc,1250
low,vhigh,4,more,big,low,unacc,1374
vhigh,high,3,2,big,med,unacc,142
med,high,3,2,med,low,unacc,1002
vhigh,vhigh,5more,more,big,high,unacc,107
low,vhigh,5more,more,med,low,unacc,1398
high,vhigh,4,more,small,high,unacc,506
high,vhigh,2,2,small,high,unacc,434
high,vhigh,2,2,med,low,unacc,435
med,high,4,2,small,low,unacc,1026
high,low,2,2,med,med,unacc,760
vhigh,low,2,4,med,low,unacc,336
med,vhigh,3,2,big,med,unacc,898
low,med,3,2,med,med,unacc,1543
high,high,5more,2,small,med,unacc,622
vhigh,high,3,more,small,med,unacc,154
med,high,4,4,med,low,unacc,1038
vhigh,high,3,4,small,low,unacc,144
high,high,2,4,med,low,unacc,552
med,med,5more,2,med,high,unacc,1166
low,high,2,more,small,high,unacc,1424
med,high,5more,2,big,high,unacc,1061
vhigh,high,2,4,small,high,unacc,119
low,med,4,2,small,low,unacc,1566
high,low,2,2,med,high,unacc,761
med,med,2,2,big,high,unacc,1088
high,vhigh,4,4,med,high,unacc,500
vhigh,vhigh,5more,more,big,low,unacc,105
med,low,4,more,small,low,unacc,1260
high,high,5more,4,med,low,unacc,633
high,med,4,4,big,low,unacc,717
low,high,2,2,big,high,unacc,1412
vhigh,vhigh,5more,2,small,high,unacc,83
vhigh,high,5more,more,small,low,unacc,207
low,high,4,2,big,high,unacc,1466
vhigh,med,2,2,small,high,unacc,218
high,vhigh,2,more,small,med,unacc,451
vhigh,med,2,2,small,med,unacc,217
vhigh,high,2,more,small,med,unacc,127
low,med,4,2,med,low,unacc,1569
high,low,3,more,small,med,unacc,802
med,high,5more,more,med,low,unacc,1074
vhigh,high,3,4,big,med,unacc,151
low,high,5more,2,med,med,unacc,1489
vhigh,med,2,2,big,high,unacc,224
low,vhigh,2,4,small,med,unacc,1306
high,high,2,2,med,high,unacc,545
high,med,3,4,small,med,unacc,685
low,low,5more,more,med,low,unacc,1722
med,vhigh,3,more,big,low,unacc,915
med,low,3,4,small,low,unacc,1224
med,vhigh,3,4,med,low,unacc,903
med,vhigh,3,2,med,low,unacc,894
vhigh,high,3,2,big,high,unacc,143
high,high,4,2,big,med,unacc,601
high,high,2,more,small,low,unacc,558
med,med,3,4,big,low,unacc,1122
high,vhigh,5more,2,big,med,unacc,520
med,vhigh,4,2,med,low,unacc,921
med,high,3,2,small,high,unacc,1001
med,vhigh,5more,2,med,med,unacc,949
vhigh,low,3,2,big,high,unacc,359
vhigh,vhigh,3,2,med,high,unacc,32
high,high,3,2,big,med,unacc,574
high,low,5more,2,med,low,unacc,840
high,high,3,2,small,low,unacc,567
vhigh,med,4,more,small,low,unacc,288
med,med,5more,4,med,low,unacc,1173
high,low,3,4,small,med,unacc,793
high,vhigh,3,4,small,med,unacc,469
high,med,5more,2,big,low,unacc,735
low,vhigh,3,2,med,med,unacc,1327
high,med,4,2,med,low,unacc,705
high,vhigh,2,2,big,low,unacc,438
med,high,5more,2,small,high,unacc,1055
vhigh,high,5more,more,med,high,unacc,212
vhigh,low,3,4,med,low,unacc,363
vhigh,med,2,2,med,med,unacc,220
low,med,3,more,big,low,unacc,1563
high,high,3,2,med,low,unacc,570
low,med,3,2,big,low,unacc,1545
med,vhigh,5more,2,med,low,unacc,948
med,med,4,more,med,low,unacc,1155
med,med,4,more,small,low,unacc,1152
vhigh,high,4,2,big,high,unacc,170
low,med,3,4,small,low,unacc,1548
low,low,4,2,small,med,unacc,1675
low,vhigh,3,more,med,low,unacc,1344
vhigh,high,5more,4,big,high,unacc,206
high,high,3,4,small,low,unacc,576
high,vhigh,3,more,big,low,unacc,483
med,high,4,4,big,low,unacc,1041
vhigh,vhigh,2,2,small,med,unacc,1
vhigh,high,5more,more,small,med,unacc,208
vhigh,vhigh,5more,4,small,high,unacc,92
med,low,3,2,med,high,unacc,1220
med,high,3,4,med,med,unacc,1012
low,med,2,2,big,med,unacc,1519
high,high,3,2,med,high,unacc,572
vhigh,low,4,2,small,high,unacc,380
vhigh,vhigh,3,2,small,high,unacc,29
low,low,4,2,big,med,unacc,1681
low,vhigh,4,2,big,low,unacc,1356
med,vhigh,4,4,med,low,unacc,930
vhigh,low,3,more,big,low,unacc,375
med,high,3,more,small,low,unacc,1017
vhigh,low,5more,more,med,low,unacc,426
low,high,3,2,big,high,unacc,1439
high,low,4,4,small,med,unacc,820
med,low,4,2,small,low,unacc,1242
med,med,3,2,small,med,unacc,1108
vhigh,high,4,more,small,med,unacc,181
vhigh,vhigh,4,2,big,low,unacc,60
med,low,4,2,med,low,unacc,1245
high,vhigh,3,more,small,low,unacc,477
med,high,4,2,med,high,unacc,1031
med,low,4,2,big,med,unacc,1249
vhigh,low,5more,more,small,low,unacc,423
vhigh,high,5more,4,small,med,unacc,199
vhigh,high,4,2,med,high,unacc,167
high,vhigh,2,more,med,high,unacc,455
med,low,2,4,med,low,unacc,1200
low,high,3,more,med,low,unacc,1452
vhigh,high,3,2,big,low,unacc,141
med,med,2,2,small,high,unacc,1082
high,med,3,2,med,med,unacc,679
low,low,4,2,big,low,unacc,1680
vhigh,high,2,4,big,med,unacc,124
low,high,5more,2,med,low,unacc,1488
vhigh,low,3,more,big,high,acc,377
med,high,3,more,big,high,acc,1025
vhigh,med,4,4,med,med,acc,283
low,vhigh,3,more,small,high,acc,1343
high,high,5more,more,med,high,acc,644
vhigh,low,3,more,med,high,acc,374
high,low,2,4,big,med,acc,772
med,high,5more,more,med,high,acc,1076
vhigh,med,4,more,big,med,acc,295
high,med,2,4,small,high,acc,659
vhigh,low,4,4,med,med,acc,391
high,low,3,4,med,high,acc,797
med,low,4,more,small,med,acc,1261
med,vhigh,4,more,big,high,acc,944
high,med,3,more,med,med,acc,697
vhigh,med,5more,more,big,high,acc,323
vhigh,med,2,more,big,med,acc,241
vhigh,med,5more,4,big,high,acc,314
med,med,2,4,small,high,acc,1091
med,high,3,more,med,med,acc,1021
vhigh,med,4,more,small,high,acc,290
high,low,2,more,big,high,acc,782
med,vhigh,3,4,med,high,acc,905
vhigh,med,4,more,med,med,acc,292
med,med,3,more,med,med,acc,1129
high,high,2,4,big,high,acc,557
high,low,4,more,med,med,acc,832
high,high,4,more,small,high,acc,614
low,high,4,more,small,high,acc,1478
high,high,2,more,med,high,acc,563
high,high,5more,4,med,med,acc,634
low,high,3,4,small,high,acc,1442
vhigh,med,3,4,med,high,acc,257
med,med,5more,4,big,med,acc,1177
med,high,3,4,small,high,acc,1010
med,high,5more,more,med,med,acc,1075
low,vhigh,2,more,med,high,acc,1319
low,vhigh,2,4,med,high,acc,1310
vhigh,low,3,more,big,med,acc,376
high,low,4,more,big,med,acc,835
high,low,5more,more,big,med,acc,862
high,low,4,more,small,high,acc,830
high,high,3,more,small,high,acc,587
med,high,2,4,med,high,acc,986
high,high,3,more,big,med,acc,592
high,high,4,4,small,high,acc,605
low,vhigh,2,4,big,med,acc,1312
vhigh,low,2,4,big,high,acc,341
vhigh,low,3,4,med,high,acc,365
med,high,5more,more,big,high,acc,1079
low,high,5more,4,med,med,acc,1498
med,high,4,more,med,high,acc,1049
med,vhigh,4,more,med,med,acc,940
vhigh,med,4,4,small,high,acc,281
med,vhigh,2,4,big,med,acc,880
high,low,4,4,big,high,acc,827
high,med,2,4,big,med,acc,664
low,vhigh,4,4,big,med,acc,1366
high,med,5more,more,med,med,acc,751
high,low,2,more,med,high,acc,779
med,vhigh,4,4,small,high,acc,929
med,vhigh,2,more,big,med,acc,889
high,med,5more,4,big,med,acc,745
low,vhigh,3,more,med,med,acc,1345
med,high,4,4,med,high,acc,1040
vhigh,med,2,more,big,high,acc,242
low,vhigh,5more,more,med,med,acc,1399
vhigh,med,5more,4,med,med,acc,310
vhigh,med,3,more,med,med,acc,265
med,low,3,4,med,med,acc,1228
high,med,3,more,small,high,acc,695
low,vhigh,5more,4,big,high,acc,1394
vhigh,med,5more,more,big,med,acc,322
med,high,4,more,big,high,acc,1052
high,med,4,4,med,high,acc,716
high,high,5more,more,big,med,acc,646
low,low,5more,more,med,high,vgood,1724
low,med,5more,4,big,high,vgood,1610
low,low,3,more,big,high,vgood,1673
med,low,5more,more,med,high,vgood,1292
med,med,5more,4,med,high,vgood,1175
med,low,5more,4,big,high,vgood,1286
low,low,4,4,med,high,vgood,1688
med,low,3,more,big,high,vgood,1241
low,med,3,more,med,high,vgood,1562
med,low,3,4,big,high,vgood,1232
low,low,3,4,big,high,vgood,1664
low,high,5more,more,med,high,vgood,1508
low,med,4,more,big,high,vgood,1592
low,med,3,4,med,high,good,1553
low,med,4,4,med,med,good,1579
med,low,4,more,big,med,good,1267
low,low,2,more,med,high,good,1643
med,low,2,4,med,high,good,1202
med,low,3,more,small,high,good,1235
low,low,2,4,med,high,good,1634
med,low,3,4,med,high,good,1229
med,low,5more,4,big,med,good,1285
med,low,3,more,big,med,good,1240
med,low,5more,more,big,med,good,1294
low,low,5more,more,med,med,good,1723
low,low,5more,4,small,high,good,1712
