MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,sampleNum
115,2000,8000,16,1,3,50,138
110,5000,5000,142,8,64,120,19
57,4000,16000,1,6,12,132,93
125,256,6000,256,16,128,198,0
140,2000,4000,8,1,20,35,87
140,2000,8000,32,1,54,66,89
105,2000,4000,8,3,19,32,69
1100,768,2000,0,1,1,13,103
140,2000,4000,0,4,8,40,86
900,1000,1000,0,1,2,11,107
50,1000,4000,8,1,5,29,37
133,1000,8000,9,3,12,72,45
25,1310,2620,131,12,24,368,31
180,2000,16000,16,1,6,66,116
50,2620,10480,30,12,24,32,32
300,1000,16000,8,2,112,38,82
50,2000,16000,8,3,6,60,43
160,512,4000,2,1,5,30,176
23,16000,32000,64,16,32,367,6
60,2000,8000,65,1,8,92,12
92,2000,8000,4,1,6,50,142
125,512,1000,0,8,20,36,62
330,1000,4000,0,3,6,22,84
50,2000,16000,8,3,6,52,42
200,1000,8000,0,1,2,36,53
23,16000,64000,64,16,32,636,8
400,4000,8000,0,1,1,32,106
600,768,2000,0,1,1,16,104
60,2000,16000,64,5,8,74,145
320,256,3000,4,1,3,27,27
320,128,6000,0,1,12,23,24
185,2000,16000,16,1,6,76,115
320,512,5000,4,1,5,77,28
26,8000,32000,128,24,32,405,192
59,4000,12000,32,6,12,113,188
400,512,3500,4,1,6,40,11
225,1000,4000,2,3,6,24,117
200,512,16000,0,4,32,35,15
300,768,3000,6,6,24,44,74
125,2000,8000,0,2,14,52,206
70,4000,12000,8,6,8,75,187
